playoffs,game,team_x,gamelength,result,kills,deaths,assists,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,firstdragon,dragons,elementaldrakes,infernals,mountains,clouds,oceans,elders,firstherald,heralds,firstbaron,barons,firsttower,towers,firstmidtower,firsttothreetowers,inhibitors,damagetochampions,dpm,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,goldspent,gspd,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,golddiffat10,xpdiffat10,csdiffat10,golddiffat15,xpdiffat15,csdiffat15,team_y
1,4,JD Gaming,-52.548982616898,0,0.5187306292952432,-1.0928109419215737,1.432354130171138,0.160894758118852,0.03843821587387147,0.020381350222342002,-0.0005726990971567179,0.0936531464762162,0.022849110631990466,0.0005038842474067717,-0.00026950545748549715,0.03463145128688838,0.09944751381215466,0.04291032205902179,0.12692864843013074,-0.10245418407222745,-0.012540425818622802,-0.020212909311413563,0.033250235817275375,-0.08263711090149573,0.07020617167497645,0.13532542783991375,0.017046220185958694,0.45852984772941685,0.048679423258320975,-0.0012464627408705908,0.018461123837757665,-3917.1251852850037,-67.082484388897,-152.47215568656793,-161.32356959641584,-15.17703139738579,-0.36104167228136363,-2.589475811885187,-0.03825686902034886,-5.186363023851236,-13.494239320846248,-0.21376281835331667,-309.26421641287743,226.69596415576962,32.05825234806639,-137.4267282037472,0.020952316896577287,2.0823339172618205,-0.9745654224498139,0.8774760813906468,15.421338094596418,5.931511925616498,-2.5631316534159816,137.67430265462875,145.0272874275704,-0.20539684678614734,Suning
1,3,JD Gaming,-52.548982616898,0,0.5187306292952432,-1.0928109419215737,1.432354130171138,0.160894758118852,0.03843821587387147,0.020381350222342002,-0.0005726990971567179,0.0936531464762162,0.022849110631990466,0.0005038842474067717,-0.00026950545748549715,0.03463145128688838,0.09944751381215466,0.04291032205902179,0.12692864843013074,-0.10245418407222745,-0.012540425818622802,-0.020212909311413563,0.033250235817275375,-0.08263711090149573,0.07020617167497645,0.13532542783991375,0.017046220185958694,0.45852984772941685,0.048679423258320975,-0.0012464627408705908,0.018461123837757665,-3917.1251852850037,-67.082484388897,-152.47215568656793,-161.32356959641584,-15.17703139738579,-0.36104167228136363,-2.589475811885187,-0.03825686902034886,-5.186363023851236,-13.494239320846248,-0.21376281835331667,-309.26421641287743,226.69596415576962,32.05825234806639,-137.4267282037472,0.020952316896577287,2.0823339172618205,-0.9745654224498139,0.8774760813906468,15.421338094596418,5.931511925616498,-2.5631316534159816,137.67430265462875,145.0272874275704,-0.20539684678614734,Suning
1,2,Suning,52.548982616898,1,-0.5187306292952432,1.0928109419215737,-1.432354130171138,-0.160894758118852,-0.03843821587387147,-0.020381350222342002,0.0005726990971567179,-0.0936531464762162,-0.022849110631990466,-0.0005038842474067717,0.00026950545748549715,-0.03463145128688838,-0.09944751381215466,-0.04291032205902179,-0.12692864843013074,0.10245418407222745,0.012540425818622802,0.020212909311413563,-0.033250235817275375,0.08263711090149573,-0.07020617167497645,-0.13532542783991375,-0.017046220185958694,-0.45852984772941685,-0.048679423258320975,0.0012464627408705908,-0.018461123837757665,3917.1251852850037,67.082484388897,152.47215568656793,161.32356959641584,15.17703139738579,0.36104167228136363,2.589475811885187,0.03825686902034886,5.186363023851236,13.494239320846248,0.21376281835331667,309.26421641287743,-226.69596415576962,-32.05825234806639,137.4267282037472,-0.020952316896577287,-2.0823339172618205,0.9745654224498139,-0.8774760813906468,-15.421338094596418,-5.931511925616498,2.5631316534159816,-137.67430265462875,-145.0272874275704,0.20539684678614734,JD Gaming
1,1,Suning,52.548982616898,0,-0.5187306292952432,1.0928109419215737,-1.432354130171138,-0.160894758118852,-0.03843821587387147,-0.020381350222342002,0.0005726990971567179,-0.0936531464762162,-0.022849110631990466,-0.0005038842474067717,0.00026950545748549715,-0.03463145128688838,-0.09944751381215466,-0.04291032205902179,-0.12692864843013074,0.10245418407222745,0.012540425818622802,0.020212909311413563,-0.033250235817275375,0.08263711090149573,-0.07020617167497645,-0.13532542783991375,-0.017046220185958694,-0.45852984772941685,-0.048679423258320975,0.0012464627408705908,-0.018461123837757665,3917.1251852850037,67.082484388897,152.47215568656793,161.32356959641584,15.17703139738579,0.36104167228136363,2.589475811885187,0.03825686902034886,5.186363023851236,13.494239320846248,0.21376281835331667,309.26421641287743,-226.69596415576962,-32.05825234806639,137.4267282037472,-0.020952316896577287,-2.0823339172618205,0.9745654224498139,-0.8774760813906468,-15.421338094596418,-5.931511925616498,2.5631316534159816,-137.67430265462875,-145.0272874275704,0.20539684678614734,JD Gaming
1,3,DRX,47.365833243330826,0,-0.3840587536451032,0.2094448644562057,-1.1588994491845739,-0.10794902257263184,-0.029808834647370164,-0.012339345501674044,-0.015957446808510637,0.036397019116535256,-0.027045131763689334,-0.02585667458688845,0.038557079598228794,-0.07457608813046779,-0.0914785613997191,0.016281455880764684,-0.03542499189977322,0.032481909493465744,-0.10481693487417643,0.01690247326925154,-0.11424019872556429,-0.14791014148396153,-0.024543687223242294,-0.002835079382222716,-0.021168592720596235,-0.5083432336105407,-0.10554595528674804,-0.039313100766821485,-0.11413219570147981,1408.6330327249161,-1.6607309050639287,-60.45133459337012,82.96888336753591,8.128091586564437,0.17510942326384882,3.0857003996111914,0.0501999729992455,3.787423047845344,13.258910249486973,0.23236391888972818,587.286208013822,104.14494005832239,-29.87794448374575,856.3700183605106,-0.015023840982530519,4.392563991791775,7.313559779673852,-2.6005508154228316,90.31574684091154,203.5654768333513,0.21919213737984666,15.897586132411675,348.84930878064586,4.3066205853763915,DAMWON Gaming
1,2,DRX,47.365833243330826,0,-0.3840587536451032,0.2094448644562057,-1.1588994491845739,-0.10794902257263184,-0.029808834647370164,-0.012339345501674044,-0.015957446808510637,0.036397019116535256,-0.027045131763689334,-0.02585667458688845,0.038557079598228794,-0.07457608813046779,-0.0914785613997191,0.016281455880764684,-0.03542499189977322,0.032481909493465744,-0.10481693487417643,0.01690247326925154,-0.11424019872556429,-0.14791014148396153,-0.024543687223242294,-0.002835079382222716,-0.021168592720596235,-0.5083432336105407,-0.10554595528674804,-0.039313100766821485,-0.11413219570147981,1408.6330327249161,-1.6607309050639287,-60.45133459337012,82.96888336753591,8.128091586564437,0.17510942326384882,3.0857003996111914,0.0501999729992455,3.787423047845344,13.258910249486973,0.23236391888972818,587.286208013822,104.14494005832239,-29.87794448374575,856.3700183605106,-0.015023840982530519,4.392563991791775,7.313559779673852,-2.6005508154228316,90.31574684091154,203.5654768333513,0.21919213737984666,15.897586132411675,348.84930878064586,4.3066205853763915,DAMWON Gaming
1,1,DAMWON Gaming,-47.365833243330826,1,0.3840587536451032,-0.2094448644562057,1.1588994491845739,0.10794902257263184,0.029808834647370164,0.012339345501674044,0.015957446808510637,-0.036397019116535256,0.027045131763689334,0.02585667458688845,-0.038557079598228794,0.07457608813046779,0.0914785613997191,-0.016281455880764684,0.03542499189977322,-0.032481909493465744,0.10481693487417643,-0.01690247326925154,0.11424019872556429,0.14791014148396153,0.024543687223242294,0.002835079382222716,0.021168592720596235,0.5083432336105407,0.10554595528674804,0.039313100766821485,0.11413219570147981,-1408.6330327249161,1.6607309050639287,60.45133459337012,-82.96888336753591,-8.128091586564437,-0.17510942326384882,-3.0857003996111914,-0.0501999729992455,-3.787423047845344,-13.258910249486973,-0.23236391888972818,-587.286208013822,-104.14494005832239,29.87794448374575,-856.3700183605106,0.015023840982530519,-4.392563991791775,-7.313559779673852,2.6005508154228316,-90.31574684091154,-203.5654768333513,-0.21919213737984666,-15.897586132411675,-348.84930878064586,-4.3066205853763915,DRX
0,1,DRX,87.20259447264516,0,-1.816328257191202,-0.46951494641849933,-3.8141003948110566,-0.16173152848279737,-0.03843767625493516,0.0021996615905245376,-0.005555555555555556,-0.02695995487873659,-0.07524891426959973,-0.09960279751833112,-0.027636773829667227,-0.003299492385786973,0.08866328257191203,0.10850958826847146,-0.11695572476029326,0.014544557247602952,-0.02299069373942464,0.0191483361534123,-0.0969825155104343,-0.13809926677946982,-0.031754089114495176,-0.057445008460236924,-0.030033840947546575,-0.6479413423575862,-0.06748448956570785,0.021206993795826357,-0.16034968979131414,-322.77335025381035,-75.40467109419114,-9.188094049633946,102.67109021150736,27.385420191765377,0.6725864918217694,11.498702763677386,0.2808794529046814,9.512718556119573,40.524985899605184,0.8986175831923342,2550.3880992667764,1660.922363226171,-4.715168006205431,2462.0873942470353,-0.018200534142696033,15.260885504794146,14.95008460236889,-1.7273829667230665,30.154399323181053,174.16003948110546,-1.250902425267908,-200.4995769881557,220.55888324873098,3.1617033276931767,Top Esports
0,1,Unicorns Of Love.CIS,-299.0198412698412,0,8.078968253968256,-0.6027777777777779,12.241666666666664,0.9388888888888889,0.3111111111111111,0.11865079365079365,0.031746031746031744,0.05912698412698414,0.35705091269841277,0.3697326190476189,0.20912698412698416,0.24682539682539684,0.31150793650793673,0.11111111111111116,0.06825396825396823,0.03809523809523807,0.010714285714285787,-0.006349206349206354,0.2908730158730159,0.5321428571428571,0.25357142857142856,0.26150793650793647,0.41031746031746025,2.7257936507936504,0.2869047619047619,0.30952380952380953,0.46904761904761916,4709.5150793650755,481.04230329365237,233.0205666269835,-107.1152004761907,-25.77619047619048,-0.36148563492063523,-9.905952380952385,-0.10697178571428578,-12.747619047619047,-45.40357142857141,-0.32272019841269817,-3533.757142857139,-483.78928571428696,192.89638448412688,-4406.246031746028,0.16095891666230158,-32.486507936507934,-45.621825396825415,11.359126984126984,997.5464285714287,786.5,15.280158730158728,2720.39126984127,1392.1301587301587,21.321825396825396,FlyQuest
0,1,Top Esports,-164.7055555555553,0,2.7750000000000004,0.3805555555555564,4.597222222222225,0.3555555555555554,0.19444444444444445,0.025,0.005555555555555556,-0.1027777777777778,0.1276663888888891,0.155793888888889,0.11388888888888893,-0.033333333333333215,-0.02499999999999991,-0.1152777777777777,0.06805555555555554,0.1069444444444444,-0.0625,-0.061111111111111116,0.20277777777777778,0.23611111111111116,0.036111111111111094,0.10833333333333328,0.2,1.230555555555556,0.13055555555555554,0.07777777777777772,0.061111111111111116,2423.3666666666686,244.0430802777796,63.2140547222225,-208.71550833333458,-9.805555555555557,-0.018026111111109078,-3.1472222222222257,0.027041388888889184,-0.6611111111111114,-20.35277777777776,0.03097305555555252,-2270.711111111108,-590.8027777777752,89.71821027777901,-2211.649999999994,0.05672227063055558,-9.122222222222234,-17.725000000000023,5.980555555555554,141.89166666666665,39.19444444444444,11.222222222222221,849.3000000000001,344.76666666666665,12.247222222222222,FlyQuest
