gameid,playoffs,game,team_x,gamelength,result,kills,deaths,assists,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,firstdragon,dragons,elementaldrakes,infernals,mountains,clouds,oceans,elders,firstherald,heralds,firstbaron,barons,firsttower,towers,firstmidtower,firsttothreetowers,inhibitors,damagetochampions,dpm,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,goldspent,gspd,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,golddiffat10,xpdiffat10,csdiffat10,golddiffat15,xpdiffat15,csdiffat15,team_y
ESPORTSTMNT04/1000232,1,3,Vega Squadron,1415,1,21,-21,49,2.0,0.0,0.0,0.0,0.0,0.8905000000000001,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,3.0,18629,789.9222,-324.63599999999997,-19.971700000000055,11,0.4663999999999997,-3,-0.1272000000000001,0,14.0,0.5936000000000003,15595,15595,661.2721000000001,9900.0,0.500948,76,7,28,1094.0,557.0,-14.0,7976.0,5537.0,-1.0,Unicorns Of Love.CIS
ESPORTSTMNT04/1000243,1,4,Vega Squadron,1580,0,-12,12,-16,-2.0,0.0,0.0,0.0,0.0,-0.4557,0.0,0.0,-3.0,-3.0,-1.0,0.0,-2.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,-8.0,0.0,0.0,-1.0,-2362,-89.69619999999986,-310.0252999999998,-422.6962000000001,12,0.4557000000000002,-20,-0.7594999999999998,8,-35.0,-1.3290999999999995,-13219,-13219,-501.9874000000001,-8442.0,-0.39261399999999996,-67,-1,-25,-608.0,-1200.0,-5.0,-4079.0,-4194.0,-24.0,Unicorns Of Love.CIS
ESPORTSTMNT04/1000252,1,5,Vega Squadron,2007,0,-10,10,-9,-3.0,0.0,0.0,0.0,0.0,-0.2989,0.0,0.0,-5.0,-5.0,-3.0,0.0,0.0,-2.0,0.0,0.0,-1.0,0.0,-2.0,0.0,-9.0,1.0,0.0,-4.0,-13287,-397.2198000000003,89.02840000000015,-727.2347,22,0.6577000000000002,-11,-0.32889999999999997,13,-33.0,-0.9864999999999995,-14431,-14431,-431.41999999999996,-6150.0,-0.214162,-156,-12,-65,-2575.0,-1892.0,-74.0,-2081.0,-932.0,-93.0,Unicorns Of Love.CIS
5656-7252,0,1,LGD Gaming,2283,1,6,-6,11,1.0,1.0,0.0,0.0,1.0,0.15769999999999995,0.0,0.0,1.0,1.0,1.0,0.0,1.0,-1.0,0.0,1.0,2.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,16898,444.09990000000016,-357.29309999999987,-636.1891999999998,2,0.05250000000000021,4,0.10509999999999997,-6,-33.0,-0.8672000000000004,2619,2619,68.83050000000003,283.0,0.00969154,-62,-13,-32,752.0,767.0,1.0,2011.0,2200.0,-2.0,LNG Esports
5656-7253,0,2,LNG Esports,1517,1,14,-14,37,1.0,0.0,0.0,0.0,1.0,0.5537000000000001,0.0,1.0,4.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,1.0,1.0,4.0,18221,720.6723999999999,-612.973,-299.6044999999999,3,0.11859999999999982,4,0.1582,-6,62.0,2.4522000000000004,11474,11474,453.81669999999986,5095.0,0.2502,46,-12,22,462.0,1678.0,30.0,5299.0,4448.0,58.0,LGD Gaming
5656-7254,0,3,LGD Gaming,2116,0,-6,6,-22,-3.0,-1.0,0.0,0.0,1.0,-0.17020000000000002,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,-5.0,1.0,1.0,-2.0,403,11.427199999999857,-59.57459999999992,-92.29680000000008,-7,-0.1983999999999999,14,0.397,1,49.0,1.3894000000000002,-8580,-8580,-243.28920000000005,-4215.0,-0.14592979999999997,-35,-40,-15,1802.0,1388.0,-3.0,1436.0,904.0,-6.0,LNG Esports
5658-7257,0,1,Oh My God,1666,0,-11,11,-32,-3.0,0.0,0.0,0.0,1.0,-0.3961,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,-5.0,0.0,0.0,-1.0,-13509,-486.5185999999999,377.0347999999999,-128.06719999999996,28,1.0084000000000004,-22,-0.7923999999999998,7,-21.0,-0.7562999999999995,-9821,-9821,-353.69740000000013,-2820.0,-0.13032919999999998,-22,11,-20,-386.0,-1517.0,2.0,300.0,-730.0,-6.0,JD Gaming
5658-7258,0,2,Oh My God,1852,0,-10,10,-30,-3.0,-1.0,0.0,0.0,1.0,-0.324,0.0,0.0,-2.0,-2.0,-1.0,0.0,1.0,-2.0,0.0,1.0,0.0,0.0,-1.0,1.0,-6.0,1.0,0.0,-1.0,-6886,-223.08850000000007,51.22029999999995,-33.984899999999925,24,0.7776000000000005,-25,-0.8099000000000001,7,1.0,0.032300000000001106,-8005,-8005,-259.34130000000005,-302.0,-0.0126561,14,9,2,1357.0,613.0,35.0,-213.0,-2415.0,21.0,JD Gaming
5662-7264,0,1,Rogue Warriors,2436,1,-1,1,-2,0.0,0.0,0.0,0.0,1.0,-0.0247,0.0,0.0,-1.0,-2.0,-2.0,1.0,-1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,-9685,-238.54680000000008,300.04930000000013,-346.20690000000013,4,0.09860000000000024,13,0.3201999999999998,2,60.0,1.477899999999999,9565,9565,235.5911000000001,-55.0,-0.001812564,56,43,7,1347.0,268.0,16.0,-825.0,-2004.0,15.0,Suning
5662-7267,0,2,Suning,2097,0,-1,1,-9,0.0,0.0,0.0,0.0,1.0,-0.028600000000000014,0.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,0.0,1.0,2.0,0.0,-1.0,0.0,-5.0,1.0,1.0,-1.0,-7425,-212.44630000000006,-46.35199999999986,1262.9183999999996,7,0.20030000000000037,0,0.0,17,-25.0,-0.7153,-6755,-6755,-193.27610000000004,-1975.0,-0.0748992,-31,1,-7,204.0,141.0,-20.0,13.0,-735.0,-53.0,Rogue Warriors
5664-7277,0,1,LNG Esports,1961,0,-9,9,-10,-2.0,0.0,0.0,0.0,0.0,-0.27530000000000004,0.0,0.0,-3.0,-3.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,2.0,0.0,-1.0,1.0,-5.0,0.0,0.0,-1.0,-23217,-710.3620000000003,635.4920999999999,942.9577000000002,1,0.030600000000000183,-12,-0.36719999999999997,-4,-33.0,-1.0096999999999996,-8685,-8685,-265.7318,-5685.0,-0.20992399999999997,-72,-42,-12,-727.0,-419.0,-12.0,-245.0,-1334.0,-22.0,Top Esports
5664-7271,0,2,Top Esports,1830,1,7,-7,19,1.0,0.0,0.0,0.0,0.0,0.2295,0.0,0.0,-2.0,-2.0,0.0,-1.0,0.0,-1.0,0.0,1.0,2.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,13391,439.0491999999999,-201.54089999999997,-217.01639999999998,9,0.29510000000000014,12,0.3935000000000002,4,52.0,1.7049000000000003,9164,9164,300.45900000000006,5400.0,0.23665999999999998,33,-5,13,202.0,418.0,-7.0,1945.0,10.0,-4.0,LNG Esports
5665-7276,0,1,JD Gaming,1653,1,13,-13,38,3.0,1.0,0.0,0.0,0.0,0.4719,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,15322,556.1525000000001,-86.31579999999985,273.50279999999975,32,1.1614999999999998,4,0.1452,4,124.0,4.5009,13529,13529,491.0708000000001,6730.0,0.31258800000000003,76,20,25,753.0,-70.0,13.0,4234.0,1739.0,40.0,Team WE
5665-7272,0,2,Team WE,1726,0,-20,20,-42,-3.0,0.0,0.0,0.0,0.0,-0.6952,0.0,0.0,-4.0,-4.0,-1.0,-2.0,0.0,-1.0,0.0,1.0,0.0,0.0,-2.0,0.0,-6.0,1.0,0.0,-1.0,-8644,-300.4866999999999,-8.968700000000354,-2052.2364000000002,14,0.4866999999999999,-24,-0.8343,-9,-43.0,-1.4948000000000006,-14089,-14089,-489.76829999999995,-11182.0,-0.47992399999999996,-48,9,-18,-1428.0,-504.0,-16.0,-2314.0,-2345.0,-20.0,JD Gaming
5668-7281,0,1,EDward Gaming,1841,1,14,-14,26,2.0,0.0,0.0,0.0,1.0,0.45620000000000005,0.0,1.0,4.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,-2.0,1.0,1.0,0.0,7.0,0.0,1.0,2.0,13060,425.63829999999984,-194.82889999999998,378.9679000000001,-1,-0.03259999999999996,10,0.3259000000000001,7,14.0,0.4563000000000006,10249,10249,334.0250000000001,6427.0,0.26342,28,8,8,312.0,587.0,-12.0,-637.0,-874.0,-49.0,Top Esports
5668-7282,0,2,Top Esports,1657,1,10,-10,37,0.0,0.0,0.0,0.0,0.0,0.3621,0.0,0.0,2.0,2.0,0.0,-1.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,13512,489.26980000000003,-324.87620000000015,121.88300000000004,7,0.25349999999999984,-2,-0.07240000000000002,-7,25.0,0.9051999999999998,11140,11140,403.3796,9235.0,0.42574799999999996,74,19,5,90.0,-157.0,48.0,1601.0,1329.0,56.0,EDward Gaming
5668-7283,0,3,EDward Gaming,1871,0,-9,9,-23,-1.0,0.0,0.0,0.0,0.0,-0.28859999999999997,0.0,0.0,-5.0,-4.0,0.0,-1.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,1.0,-6.0,0.0,0.0,-2.0,-12982,-416.3121000000001,385.7829999999999,-933.0946000000001,-8,-0.2565999999999997,9,0.28859999999999997,19,6.0,0.19240000000000013,-8280,-8280,-265.52650000000006,-3730.0,-0.1584368,-6,-6,-9,-353.0,-81.0,-2.0,-409.0,421.0,10.0,Top Esports
