gameid,playoffs,game,team_x,gamelength,result,kills,deaths,assists,doublekills,triplekills,quadrakills,pentakills,firstblood,team kpm,ckpm,firstdragon,dragons,elementaldrakes,infernals,mountains,clouds,oceans,elders,firstherald,heralds,firstbaron,barons,firsttower,towers,firstmidtower,firsttothreetowers,inhibitors,damagetochampions,dpm,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,goldspent,gspd,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,golddiffat10,xpdiffat10,csdiffat10,golddiffat15,xpdiffat15,csdiffat15,team_y
4268-5346,0,1,Invictus Gaming,2121,1,7,-7,27,3.0,1.0,0.0,0.0,1.0,0.19799999999999995,0.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,20189,571.1172999999999,-450.1839,-1790.2404999999999,2,0.056599999999999984,7,0.19800000000000018,-6,17.0,0.4809000000000001,7696,7696,217.70859999999993,2715.0,0.0907002,35,17,9,1987.0,1286.0,48.0,1112.0,45.0,36.0,Top Esports
4268-5347,0,2,Top Esports,1895,0,-9,9,-30,1.0,-1.0,0.0,0.0,1.0,-0.2849,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,-1.0,1.0,-5.0,1.0,1.0,-2.0,3507,111.03960000000006,-560.4539,-277.8364999999999,-10,-0.31659999999999977,9,0.28490000000000015,-7,18.0,0.5699000000000005,-7182,-7182,-227.39840000000015,-509.0,-0.01999194,1,-6,0,-171.0,-477.0,-27.0,-524.0,-1439.0,-23.0,Invictus Gaming
4271-5352,0,1,Bilibili Gaming,1860,1,14,-14,30,3.0,2.0,0.0,0.0,1.0,0.4516,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,1.0,1.0,1.0,10.0,1.0,1.0,3.0,7471,241.0,150.8710000000001,-150.96780000000035,11,0.3549000000000002,7,0.2258,16,58.0,1.8709999999999996,14527,14527,468.61299999999994,8925.0,0.37747800000000004,92,5,40,919.0,1078.0,20.0,1770.0,1787.0,51.0,LGD Gaming
4271-5353,0,2,LGD Gaming,2071,0,-7,7,-23,-1.0,0.0,0.0,0.0,1.0,-0.20279999999999998,0.0,1.0,1.0,1.0,0.0,0.0,2.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-9.0,0.0,0.0,-2.0,-24905,-721.5355000000002,593.7422000000001,-346.6151,-47,-1.3617,3,0.08689999999999998,-19,-91.0,-2.6365,-11025,-11025,-319.4109000000001,-4895.0,-0.1738574,-88,-18,-30,-1421.0,-1166.0,-51.0,-2512.0,-66.0,-34.0,Bilibili Gaming
4272-5354,0,1,Vici Gaming,2100,1,19,-19,67,6.0,0.0,0.0,0.0,1.0,0.5428000000000001,0.0,1.0,4.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,-1.0,1.0,2.0,1.0,8.0,1.0,1.0,1.0,13571,387.7428,32.171499999999924,-393.1713999999997,-27,-0.7713999999999999,43,1.2285,10,93.0,2.657099999999999,13369,13369,381.9714,12105.0,0.420842,39,2,20,-80.0,-465.0,-39.0,1135.0,1028.0,-37.0,Suning
4272-5355,0,2,Suning,1599,1,7,-7,22,0.0,0.0,0.0,0.0,1.0,0.2626,0.0,1.0,1.0,0.0,0.25,0.25,0.25,0.25,0.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,2.0,9990,374.85929999999985,-270.6567,27.016800000000103,16,0.6003999999999996,-2,-0.07510000000000017,-8,34.0,1.2758000000000003,11839,11839,444.24019999999996,9665.0,0.48183400000000004,48,1,15,1024.0,1738.0,28.0,2661.0,860.0,29.0,Vici Gaming
ESPORTSTMNT01/1041205,0,1,DAMWON Gaming,2255,1,10,-10,24,1.0,0.0,0.0,0.0,0.0,0.2661,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0,1.0,1.0,1.0,9951,264.77160000000003,67.29039999999986,-775.7693999999999,41,1.0909,-14,-0.37250000000000005,-12,31.0,0.8248000000000006,12070,12070,321.153,8958.0,0.291416,27,4,9,233.0,54.0,10.0,-925.0,-1398.0,-23.0,Gen.G
4272-5356,0,3,Vici Gaming,1663,0,-10,10,-31,-1.0,0.0,0.0,0.0,0.0,-0.3608,0.0,0.0,-3.0,-3.0,-1.0,0.0,0.0,-2.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-10.0,0.0,0.0,-3.0,-28179,-1016.6807000000001,1010.2225000000003,224.8827000000001,-34,-1.2267000000000001,14,0.5050999999999999,-4,-49.0,-1.7679,-16465,-16465,-594.0468999999999,-8753.0,-0.40610999999999997,-53,9,-25,-2227.0,-281.0,-24.0,-3692.0,267.0,-14.0,Suning
ESPORTSTMNT01/1041216,0,2,Gen.G,1799,0,-6,6,-13,0.0,0.0,0.0,0.0,0.0,-0.2001,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-7.0,0.0,0.0,-1.0,-2639,-88.01559999999995,-124.56919999999991,404.1245000000001,-21,-0.7003999999999997,7,0.23349999999999982,1,-12.0,-0.4002000000000008,-6739,-6739,-224.7582,-4617.0,-0.18667179999999997,-53,-15,-10,-47.0,-110.0,25.0,-218.0,-1766.0,6.0,DAMWON Gaming
ESPORTSTMNT03/1010119,0,1,Machi Esports,2382,0,2,-2,11,-2.0,-1.0,0.0,0.0,1.0,0.0504,0.0,1.0,3.0,3.0,0.0,-1.0,2.0,2.0,0.0,1.0,1.0,0.0,-1.0,1.0,-4.0,1.0,1.0,-1.0,-7957,-200.4282000000003,189.37030000000004,467.58190000000013,31,0.7807999999999997,-1,-0.02519999999999989,16,64.0,1.6120999999999999,-2598,-2598,-65.44080000000008,1265.0,0.0403074,27,-6,6,1485.0,-233.0,15.0,2559.0,530.0,32.0,J Team
ESPORTSTMNT01/1031514,0,2,J Team,2256,1,1,-1,-2,3.0,0.0,0.0,0.0,1.0,0.026599999999999957,0.0,1.0,4.0,4.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,8.0,1.0,1.0,2.0,7855,208.90960000000018,223.98939999999993,358.2979,-39,-1.0372,13,0.3458000000000001,-21,-16.0,-0.42550000000000043,7353,7353,195.5585000000001,4402.0,0.1430172,103,27,42,1463.0,241.0,30.0,1944.0,63.0,42.0,Machi Esports
ESPORTSTMNT01/1041504,0,1,DRX,1491,0,-15,15,-35,-2.0,0.0,0.0,0.0,1.0,-0.6035999999999999,0.0,0.0,-2.0,-2.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-8.0,0.0,0.0,-1.0,-13133,-528.491,-44.94970000000012,129.1347999999998,-9,-0.3622000000000001,-4,-0.16090000000000004,9,-51.0,-2.052299999999999,-16491,-16491,-663.6218000000001,-8645.0,-0.441888,-60,-17,-12,-53.0,-375.0,3.0,-1861.0,-2124.0,-33.0,Griffin
ESPORTSTMNT01/1041535,0,2,Griffin,1861,1,13,-13,23,0.0,0.0,0.0,0.0,0.0,0.4192,0.0,0.0,1.0,1.0,0.0,2.0,0.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,16709,538.7104000000002,-454.9811999999997,-584.46,7,0.22570000000000023,4,0.129,-18,64.0,2.0634999999999994,17542,17542,565.5669,12500.0,0.472188,74,2,35,1548.0,364.0,48.0,3716.0,881.0,60.0,DRX
ESPORTSTMNT01/1041676,0,1,Gen.G,2219,0,-12,12,-29,-2.0,0.0,0.0,0.0,0.0,-0.3245,0.0,0.0,-2.0,-2.0,0.0,1.0,0.0,-3.0,0.0,0.0,-1.0,0.0,-2.0,0.0,-8.0,0.0,0.0,-3.0,6814,184.24520000000007,-324.5515999999998,-315.27710000000025,11,0.2974999999999999,-21,-0.5677999999999999,11,-56.0,-1.5142000000000007,-12063,-12063,-326.1739,-7975.0,-0.26206599999999997,-70,-18,-30,-1024.0,-1292.0,-32.0,-2305.0,-2425.0,-49.0,SANDBOX Gaming
ESPORTSTMNT01/1041724,0,2,SANDBOX Gaming,1896,1,2,-2,9,0.0,0.0,0.0,0.0,0.0,0.0633,0.0,1.0,4.0,4.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,2.0,28199,892.3734000000002,-703.4493000000002,-622.5317,5,0.1583000000000001,14,0.44310000000000005,-3,63.0,1.9936999999999996,9712,9712,307.34180000000003,6826.0,0.264532,83,-8,27,665.0,1226.0,50.0,880.0,1570.0,66.0,Gen.G
4274-5359,0,1,Top Esports,2188,0,-5,5,-12,0.0,0.0,0.0,0.0,0.0,-0.1371,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,-5.0,1.0,1.0,-1.0,-9552,-261.93780000000015,-42.20290000000023,120.98720000000003,4,0.10969999999999969,-9,-0.24680000000000013,-23,-10.0,-0.27420000000000044,-9058,-9058,-248.3913,-1383.0,-0.0496664,7,11,-2,-1229.0,443.0,-19.0,1663.0,2403.0,-7.0,Victory Five
4274-5360,0,2,Victory Five,2105,0,-6,6,-15,0.0,1.0,0.0,0.0,1.0,-0.17109999999999997,0.0,0.0,-3.0,-3.0,-1.0,0.0,-2.0,0.0,0.0,1.0,1.0,0.0,-1.0,1.0,-6.0,0.0,1.0,-3.0,-6863,-195.6199999999999,166.3182999999999,-812.038,0,0.0,-10,-0.28510000000000013,7,-44.0,-1.2542000000000009,-3123,-3123,-89.01659999999993,-2290.0,-0.0752818,-44,-2,-12,1543.0,1284.0,21.0,-357.0,-737.0,8.0,Top Esports
4274-5361,0,3,Victory Five,1644,0,-9,8,-19,0.0,0.0,0.0,0.0,0.0,-0.3285,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,-1.0,0.0,-8.0,0.0,0.0,-2.0,-496,-18.10220000000004,-210.18250000000035,-605.9124999999999,-3,-0.10950000000000015,-5,-0.18249999999999988,2,-9.0,-0.3285,-14709,-14709,-536.8249,-5142.0,-0.246448,-15,24,-18,-1734.0,-1172.0,-63.0,-4160.0,-1963.0,-78.0,Top Esports
ESPORTSTMNT02/980560,0,1,Fnatic,1849,0,1,-1,3,-1.0,0.0,0.0,0.0,0.0,0.03250000000000003,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,-4.0,1.0,1.0,-1.0,-12263,-397.93399999999997,553.8562000000002,1269.1834000000003,-7,-0.22710000000000008,0,0.0,0,15.0,0.4867999999999997,-3165,-3165,-102.70409999999993,-1403.0,-0.053364800000000004,20,5,7,-1460.0,-1230.0,-16.0,-2047.0,-1317.0,-8.0,SK Gaming
ESPORTSTMNT02/990708,0,1,Rogue,1473,0,-9,9,-24,-2.0,-1.0,0.0,0.0,0.0,-0.36660000000000004,0.0,0.0,-4.0,-4.0,-3.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-10.0,0.0,0.0,-1.0,-18432,-750.7942,674.6638999999998,-470.2240999999997,1,0.040699999999999736,-16,-0.6517,-8,-53.0,-2.1588000000000003,-13909,-13909,-566.558,-6725.0,-0.378474,-33,15,-29,-1149.0,-323.0,13.0,-3053.0,-1048.0,7.0,Misfits Gaming
ESPORTSTMNT02/990721,0,1,Origen,1634,0,-14,14,-44,-1.0,0.0,0.0,0.0,1.0,-0.5141,0.0,0.0,-2.0,-2.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,-7.0,0.0,0.0,-2.0,-29389,-1079.1554,762.4479999999999,163.5128000000002,-2,-0.07339999999999991,-27,-0.9914,7,-93.0,-3.415000000000001,-11499,-11499,-422.23990000000003,-4995.0,-0.236044,-48,-17,-12,111.0,37.0,5.0,-183.0,24.0,-13.0,G2 Esports
ESPORTSTMNT01/1041882,0,1,DAMWON Gaming,2249,1,7,-8,18,1.0,1.0,0.0,0.0,0.0,0.18679999999999997,0.0,0.0,-1.0,-1.0,0.0,-2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,7.0,1.0,1.0,1.0,21549,574.8954999999999,-413.8906000000002,-222.81899999999996,-11,-0.2935000000000003,12,0.3201000000000003,1,-6.0,-0.1600999999999999,6165,6165,164.47310000000016,4960.0,0.1540852,88,45,21,-1236.0,-111.0,-16.0,-2672.0,-430.0,12.0,KT Rolster
ESPORTSTMNT01/1041911,0,2,KT Rolster,2074,0,-11,11,-20,-4.0,-1.0,0.0,0.0,1.0,-0.31820000000000004,0.0,1.0,-3.0,-3.0,-1.0,0.0,0.0,-2.0,0.0,1.0,1.0,0.0,-1.0,0.0,-10.0,1.0,0.0,-3.0,-9514,-275.2363,-87.88819999999987,-223.62580000000003,-27,-0.7811000000000003,-5,-0.14469999999999983,3,-85.0,-2.4589999999999996,-13259,-13259,-383.57769999999994,-5775.0,-0.205654,-53,-22,-9,752.0,269.0,34.0,1256.0,696.0,38.0,DAMWON Gaming
ESPORTSTMNT02/980683,0,1,G2 Esports,1448,1,17,-17,26,2.0,0.0,0.0,0.0,1.0,0.7043999999999999,0.0,1.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,-1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,19437,805.4005999999999,-501.38120000000026,-388.4667999999999,19,0.7873000000000001,3,0.12429999999999997,9,51.0,2.1132999999999997,15939,15939,660.4558,11025.0,0.54902,69,20,14,2406.0,2493.0,49.0,5170.0,4506.0,76.0,FC Schalke 04 Esports
ESPORTSTMNT02/980693,0,1,Excel Esports,1652,1,9,-9,20,2.0,0.0,0.0,0.0,0.0,0.32680000000000003,0.0,1.0,4.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,-1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,9308,338.0628999999999,107.54230000000007,657.6391999999998,2,0.07269999999999976,15,0.5447000000000001,6,49.0,1.7797,8197,8197,297.7117999999999,1625.0,0.07600119999999999,20,5,16,-1137.0,131.0,-37.0,1027.0,1610.0,-25.0,Rogue
ESPORTSTMNT02/980728,0,1,Fnatic,1747,0,-5,5,-11,0.0,0.0,0.0,0.0,1.0,-0.17170000000000002,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-5.0,0.0,0.0,-1.0,-12331,-423.5030999999999,250.20039999999972,679.4047000000003,-3,-0.10299999999999976,1,0.034399999999999986,-2,-13.0,-0.4464000000000006,-7755,-7755,-266.34230000000014,-3500.0,-0.1518438,-26,27,-16,-1283.0,-1292.0,-60.0,-1256.0,-1277.0,-87.0,Origen
4277-5367,0,1,Rogue Warriors,1765,1,7,-7,20,0.0,0.0,0.0,0.0,1.0,0.2379,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,8668,294.66290000000004,-262.23220000000015,-70.60620000000017,-3,-0.10200000000000031,2,0.06799999999999984,6,9.0,0.30599999999999916,5700,5700,193.7677,3530.0,0.149862,29,9,7,1052.0,1347.0,22.0,-543.0,-221.0,14.0,JD Gaming
4277-5368,0,2,JD Gaming,1645,1,-2,2,-8,0.0,0.0,0.0,0.0,0.0,-0.07289999999999999,0.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,3.0,19338,705.3374,-620.2796999999998,-442.3221000000001,11,0.4012000000000002,8,0.29169999999999996,-2,56.0,2.0426,8888,8888,324.18240000000003,3425.0,0.1608454,47,-8,14,102.0,-28.0,32.0,306.0,-159.0,39.0,Rogue Warriors
4277-5369,0,3,Rogue Warriors,2077,0,-3,3,-7,0.0,0.0,0.0,0.0,0.0,-0.0867,0.0,1.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,1.0,0.0,-5555,-160.4719,-7.79970000000003,-154.86760000000004,-6,-0.1732999999999998,11,0.3178000000000001,12,40.0,1.155499999999999,-5610,-5610,-162.0607,-1943.0,-0.069646,-58,-46,-17,414.0,-5.0,3.0,-833.0,-3044.0,-48.0,JD Gaming
ESPORTSTMNT01/1032162,0,1,DRX,1997,0,-3,3,-12,0.0,0.0,0.0,0.0,0.0,-0.09009999999999996,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-2.0,0.0,-8.0,1.0,0.0,-2.0,-27080,-813.6205000000002,543.7856999999999,-15.683599999999842,36,1.0816000000000003,-24,-0.7210000000000001,3,-30.0,-0.9013,-9117,-9117,-273.9209000000001,-4420.0,-0.154222,-31,2,-3,131.0,-1475.0,-37.0,-1315.0,-1873.0,-32.0,SANDBOX Gaming
ESPORTSTMNT01/1032172,0,2,SANDBOX Gaming,1701,1,10,-10,17,2.0,1.0,0.0,0.0,1.0,0.3527,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,21541,759.8235999999999,-774.6032,-347.93650000000025,-16,-0.5644,20,0.7054,2,32.0,1.1288,11436,11436,403.3863,8833.0,0.375342,57,5,15,1675.0,1245.0,28.0,1575.0,1089.0,25.0,DRX
4279-5373,0,1,Suning,1859,1,9,-9,25,0.0,0.0,0.0,0.0,1.0,0.2905,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,19005,613.3942999999999,-435.6535000000001,-729.9730999999999,-17,-0.5486999999999997,29,0.9360000000000002,0,45.0,1.4524,14534,14534,469.091,7425.0,0.299168,39,8,13,907.0,-205.0,-9.0,3296.0,2325.0,29.0,Royal Never Give Up
4279-5374,0,2,Royal Never Give Up,1905,0,-9,9,-29,-2.0,0.0,0.0,0.0,1.0,-0.2834,0.0,1.0,0.0,0.0,2.0,0.0,-2.0,0.0,0.0,1.0,1.0,0.0,-1.0,1.0,-5.0,1.0,1.0,-2.0,15945,502.2047,-509.7008000000001,-213.92129999999997,-6,-0.1889000000000003,5,0.15749999999999997,-3,27.0,0.8503999999999996,-9140,-9140,-287.874,-1853.0,-0.0718126,-18,-20,7,1004.0,529.0,28.0,3108.0,1522.0,30.0,Suning
4283-5381,0,1,Royal Never Give Up,1979,0,-1,1,5,-3.0,0.0,0.0,0.0,0.0,-0.030400000000000094,0.0,0.0,-3.0,-3.0,-1.0,0.0,-2.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,1.0,0.0,-13308,-403.47649999999976,657.7563999999998,1414.9267,-7,-0.21220000000000017,1,0.030299999999999994,22,-27.0,-0.8186,-3815,-3815,-115.66450000000009,688.0,0.023415599999999998,26,9,13,-1453.0,432.0,7.0,369.0,1533.0,15.0,LGD Gaming
4283-5382,0,2,LGD Gaming,2161,0,-1,1,4,1.0,0.0,0.0,0.0,0.0,-0.027700000000000002,0.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,0.0,1.0,1.0,0.0,-1.0,0.0,-4.0,0.0,0.0,-2.0,1020,28.320200000000114,-60.13889999999992,-969.7733000000003,-1,-0.027800000000000047,2,0.055500000000000105,2,1.0,0.02770000000000028,-7285,-7285,-202.26739999999995,-490.0,-0.01730532,-3,6,-5,-138.0,425.0,2.0,-12.0,874.0,-2.0,Royal Never Give Up
4283-5383,0,3,Royal Never Give Up,1466,1,18,-18,46,1.0,0.0,0.0,0.0,1.0,0.7367,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,11.0,1.0,1.0,2.0,15274,625.1296,-469.48160000000007,373.87440000000015,6,0.24560000000000004,14,0.5730000000000001,-1,58.0,2.3738,14134,14134,578.472,10825.0,0.5521199999999999,75,21,33,2413.0,2730.0,9.0,7362.0,6064.0,22.0,LGD Gaming
ESPORTSTMNT01/1032839,0,1,KT Rolster,2743,0,-2,2,12,1.0,0.0,0.0,0.0,0.0,-0.04370000000000002,0.0,0.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,0.0,2.0,0.0,0.0,1.0,-23385,-511.52020000000016,507.1891999999998,687.9985999999999,-30,-0.6562000000000001,-11,-0.24069999999999991,-17,-73.0,-1.5968000000000009,-12145,-12145,-265.6579999999999,-7120.0,-0.18057320000000002,-56,-32,-28,-1356.0,-710.0,-19.0,-1890.0,682.0,-9.0,DRX
ESPORTSTMNT01/1032853,0,2,DRX,1594,1,9,-9,18,2.0,1.0,0.0,0.0,1.0,0.3388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,12904,485.7213999999999,-252.49689999999964,926.4241000000002,12,0.45169999999999977,7,0.26350000000000007,8,56.0,2.1079000000000008,14518,14518,546.4743,7975.0,0.385942,51,0,23,1184.0,521.0,6.0,1866.0,845.0,24.0,KT Rolster
4284-5384,0,1,Suning,1855,1,16,-16,36,4.0,0.0,0.0,0.0,1.0,0.5175000000000001,0.0,1.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,9.0,1.0,1.0,1.0,9669,312.7439999999999,-22.803199999999833,522.5337,-13,-0.4205000000000001,20,0.6468999999999998,8,33.0,1.0674000000000001,11465,11465,370.8355999999999,4585.0,0.1832626,65,13,23,1613.0,1110.0,33.0,2888.0,2393.0,36.0,Team WE
4284-5385,0,2,Suning,1770,1,14,-14,35,5.0,1.0,0.0,0.0,0.0,0.4746,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,9.0,1.0,1.0,2.0,22045,747.2881,-663.2543000000001,237.1187,20,0.6780000000000004,2,0.06780000000000008,9,28.0,0.9490999999999996,11979,11979,406.06780000000015,6725.0,0.27681999999999995,39,-10,28,523.0,817.0,27.0,1662.0,2132.0,37.0,Team WE
4285-5386,0,1,JD Gaming,1822,0,-12,12,-22,0.0,0.0,0.0,0.0,0.0,-0.3952,0.0,0.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,-9.0,0.0,0.0,-1.0,-15375,-506.3117,200.38419999999996,-771.0427999999999,-25,-0.8231999999999999,12,0.3952,-4,-30.0,-0.9878999999999998,-14686,-14686,-483.62239999999997,-8500.0,-0.34854,-138,-35,-62,-1220.0,-1939.0,-34.0,-4319.0,-2561.0,-38.0,FunPlus Phoenix
4285-5387,0,2,FunPlus Phoenix,2060,1,14,-14,28,4.0,1.0,0.0,0.0,1.0,0.40780000000000005,0.0,1.0,4.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,8.0,0.0,1.0,2.0,7236,210.7573,7.456300000000283,453.23299999999995,26,0.7572999999999999,1,0.029100000000000126,1,65.0,1.8932000000000002,11847,11847,345.05830000000003,5672.0,0.200534,54,0,11,4476.0,2934.0,21.0,4216.0,1719.0,17.0,JD Gaming
ESPORTSTMNT01/1043203,0,1,Gen.G,1946,0,-11,11,-31,-3.0,-1.0,0.0,0.0,0.0,-0.3391,0.0,0.0,-1.0,-1.0,0.0,0.0,-2.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,-6.0,0.0,0.0,-1.0,-22411,-690.9866999999999,441.2743999999998,1007.7902999999999,-15,-0.46250000000000036,10,0.30830000000000024,-2,3.0,0.09250000000000025,-6707,-6707,-206.79349999999988,-1798.0,-0.0741688,30,40,-18,14.0,-100.0,6.0,349.0,6.0,-3.0,Afreeca Freecs
ESPORTSTMNT01/1043218,0,2,Afreeca Freecs,2391,0,3,-3,3,2.0,0.0,0.0,0.0,1.0,0.07530000000000003,0.0,0.0,-2.0,-1.0,1.0,0.0,-2.0,0.0,-1.0,1.0,1.0,0.0,0.0,1.0,-6.0,1.0,0.0,-1.0,-17002,-426.6500000000001,438.9209999999998,423.5382999999997,-9,-0.2259000000000002,2,0.050200000000000244,14,-45.0,-1.129199999999999,-4739,-4739,-118.92090000000007,1840.0,0.0566328,-79,-53,-22,754.0,82.0,1.0,-13.0,-1896.0,-37.0,Gen.G
ESPORTSTMNT01/1043223,0,3,Gen.G,2637,0,-6,6,-21,-2.0,0.0,0.0,0.0,1.0,-0.13649999999999998,0.0,0.0,-4.0,-3.0,-1.0,0.0,0.0,-2.0,-1.0,0.0,-1.0,0.0,-2.0,0.0,-9.0,0.0,0.0,-4.0,-21274,-484.05009999999993,118.17980000000034,2039.818,-26,-0.5915999999999997,16,0.36409999999999965,-31,9.0,0.20480000000000054,-5090,-5090,-115.81340000000012,275.0,0.00820742,-10,49,-27,1034.0,247.0,-11.0,547.0,1146.0,41.0,Afreeca Freecs
ESPORTSTMNT02/991896,0,1,ahq eSports Club,1823,1,10,-10,28,2.0,0.0,0.0,0.0,1.0,0.3292,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,3.0,25440,837.3011,-1007.4601999999998,-488.8206,5,0.16460000000000008,23,0.7570000000000001,5,82.0,2.698900000000001,9856,9856,324.38839999999993,7937.0,0.34526399999999996,52,4,16,28.0,765.0,-3.0,89.0,898.0,-22.0,Machi Esports
ESPORTSTMNT03/1000552,0,2,Machi Esports,2596,1,9,-9,22,3.0,0.0,0.0,0.0,1.0,0.2081,0.0,1.0,6.0,5.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,10.0,1.0,1.0,3.0,160,3.6980000000000928,365.33899999999994,1201.2250000000001,8,0.18489999999999984,-3,-0.0693999999999999,-2,29.0,0.6702999999999992,16930,16930,391.29430000000013,12600.0,0.357574,100,12,60,2576.0,1744.0,16.0,4130.0,2952.0,45.0,ahq eSports Club
ESPORTSTMNT02/991935,0,1,DAMWON Gaming,2434,0,-9,9,-25,-2.0,0.0,0.0,0.0,0.0,-0.2218,0.0,1.0,2.0,2.0,-1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-6.0,1.0,0.0,-1.0,-15813,-389.80280000000005,681.4707999999998,221.70910000000003,-9,-0.22189999999999976,5,0.12319999999999975,-5,-14.0,-0.3451000000000004,-5466,-5466,-134.74109999999996,-2825.0,-0.0845966,7,-1,3,228.0,794.0,13.0,-1281.0,-455.0,6.0,Griffin
ESPORTSTMNT02/991993,0,3,ahq eSports Club,1648,1,6,-6,15,1.0,2.0,1.0,1.0,1.0,0.21839999999999998,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,4080,148.54370000000017,-0.29120000000011714,-726.9902999999999,1,0.03639999999999999,-3,-0.10919999999999996,-5,5.0,0.1819999999999995,7145,7145,260.1335,-45.0,-0.001996562,16,-15,6,1450.0,85.0,18.0,4304.0,553.0,8.0,Machi Esports
ESPORTSTMNT02/981910,0,2,Griffin,1655,1,17,-17,28,5.0,0.0,0.0,0.0,1.0,0.6163,0.0,1.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,10.0,1.0,1.0,1.0,12636,458.1026999999999,-278.2478000000001,860.9547,39,1.4139,9,0.32620000000000005,-9,119.0,4.3142,15935,15935,577.7039,11260.0,0.49928,72,12,23,2074.0,1135.0,33.0,8304.0,5530.0,90.0,DAMWON Gaming
